騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率
幸,福島芝1800m,0,0,0,4,0.0,0.0
幸,福島芝2000m,1,0,0,3,1.3,0.55
幸,阪神ダート1200m,18,19,0,204,0.44,0.34
幸,阪神ダート1400m,14,16,0,235,0.34,0.33
幸,阪神ダート1800m,41,24,0,360,1.09,0.41
幸,阪神ダート2000m,2,7,0,64,0.3,0.3
幸,阪神芝1200m,4,5,0,57,0.37,0.35
幸,阪神芝1400m,8,5,0,107,0.58,0.39
幸,阪神芝1600m,11,12,0,166,0.78,0.49
幸,阪神芝1800m,5,6,0,101,0.41,0.25
幸,阪神芝2000m,5,6,0,119,0.22,0.29
幸,阪神芝2200m,4,4,0,33,2.55,0.95
幸,阪神芝2400m,3,1,0,35,2.43,0.66
幸,阪神芝2600m,0,1,0,7,0.0,0.25
幸,阪神芝3000m,0,0,0,5,0.0,0.0
幸,阪神芝3200m,0,0,0,2,0.0,0.0
角田和,中京ダート1200m,2,3,1,40,0.63,0.45
角田和,中京ダート1400m,2,3,2,63,0.28,0.55
角田和,中京ダート1800m,5,9,3,76,0.68,0.83
